Age,Niveau de diplôme,Genre,Quartier,Salaire (€),Classe sociale,École des enfants,Dispose de femme de ménage,Prix au mètre carré de l'habitation (€/m2),Casier judiciaire,Niveau social des parents,Va souvent au cinéma,Score
30,4,0,2,1691,0,0,0,1922,0,1,1,1.0
64,3,0,1,1186,0,0,1,3924,1,1,2,3.55
65,4,0,0,2635,0,1,0,2678,1,0,0,1.9
68,4,0,2,7761,1,1,0,3781,0,0,1,1.15
25,1,0,1,2125,1,0,1,2791,1,0,0,2.55
54,1,1,2,8972,2,1,1,2308,1,2,2,3.8
20,1,1,2,3422,1,0,1,1973,0,1,0,0.7999999999999998
55,4,1,0,5972,0,0,1,2855,1,1,2,3.55
21,4,0,0,9214,2,1,0,1677,1,0,0,2.25
49,2,1,2,6128,1,1,1,3504,0,0,0,1.2999999999999998
42,3,0,0,4362,0,0,0,4033,1,1,2,3.4
21,1,1,2,9539,0,0,1,2791,0,0,1,1.2999999999999998
49,1,0,1,3006,1,0,0,3043,1,0,2,3.05
27,0,1,1,8391,2,1,0,2265,0,0,1,0.1499999999999999
20,2,0,0,4642,2,1,1,2945,0,2,2,0.19999999999999973
24,4,1,0,8566,1,0,1,1676,0,2,0,0.3999999999999999
41,4,0,2,6836,0,1,0,1016,1,1,1,3.5
78,3,1,1,1621,0,1,1,4925,0,1,1,0.3999999999999999
32,3,1,2,9537,0,0,0,4175,0,2,1,2.0
89,3,0,0,3735,0,0,1,4664,0,0,0,0.5499999999999998
58,4,0,0,8088,1,0,0,4032,1,0,1,3.25
48,0,1,1,4149,1,0,0,3793,1,2,2,3.3
61,3,1,1,5654,2,0,1,1339,1,2,1,3.4
48,3,1,0,5270,0,0,0,2299,1,0,2,3.4
19,3,1,1,5371,1,1,0,2028,0,1,0,0.3999999999999999
37,0,1,2,7194,1,0,0,2752,0,2,2,1.9
81,2,1,0,2758,1,1,0,2530,1,2,0,1.9
51,4,0,2,5869,1,1,0,3326,1,1,0,3.65
36,4,0,0,3997,2,1,0,4089,0,0,0,-0.10000000000000009
78,1,1,1,9749,0,0,1,1989,0,2,0,0.3999999999999999
77,4,0,2,8191,2,0,0,3312,1,1,0,4.15
